id,name,REGION
239,KOVAN,NORTH-EAST REGION
240,CHONG BOON,NORTH-EAST REGION
241,SHANGRI-LA,NORTH-EAST REGION
242,SERANGOON GARDEN,NORTH-EAST REGION
243,HOUGANG CENTRAL,NORTH-EAST REGION
244,LOYANG EAST,EAST REGION
245,DAIRY FARM,WEST REGION
246,PASIR RIS DRIVE,EAST REGION
247,TAMPINES NORTH,EAST REGION
248,CHENG SAN,NORTH-EAST REGION
249,ANG MO KIO TOWN CENTRE,NORTH-EAST REGION
250,KEBUN BAHRU,NORTH-EAST REGION
251,SERANGOON NORTH IND ESTATE,NORTH-EAST REGION
252,TENGAH,WEST REGION
253,SERANGOON NORTH,NORTH-EAST REGION
254,PASIR RIS CENTRAL,EAST REGION
255,GOMBAK,WEST REGION
256,PLAB,EAST REGION
257,KRANJI,NORTH REGION
258,PASIR RIS PARK,EAST REGION
259,CHOA CHU KANG NORTH,WEST REGION
260,RIVERVALE,NORTH-EAST REGION
261,SENGKANG WEST,NORTH-EAST REGION
262,FERNVALE,NORTH-EAST REGION
263,PUNGGOL FIELD,NORTH-EAST REGION
264,YEW TEE,WEST REGION
265,PASIR RIS WAFER FAB PARK,EAST REGION
266,MATILDA,NORTH-EAST REGION
267,WATERWAY EAST,NORTH-EAST REGION
268,GALI BATU,NORTH REGION
269,CHANGI AIRPORT,EAST REGION
270,YIO CHU KANG NORTH,NORTH-EAST REGION
271,CHANGI POINT,EAST REGION
272,SENGKANG TOWN CENTRE,NORTH-EAST REGION
273,ANCHORVALE,NORTH-EAST REGION
275,YISHUN SOUTH,NORTH REGION
276,LOWER SELETAR,NORTH REGION
277,NORTHSHORE,NORTH-EAST REGION
278,MANDAI ESTATE,NORTH REGION
279,YISHUN CENTRAL,NORTH REGION
281,TURF CLUB,NORTH REGION
282,WOODLANDS SOUTH,NORTH REGION
283,WOODGROVE,NORTH REGION
284,YISHUN EAST,NORTH REGION
285,WESTERN WATER CATCHMENT,WEST REGION
287,YISHUN WEST,NORTH REGION
288,WOODLANDS REGIONAL CENTRE,NORTH REGION
289,RESERVOIR VIEW,NORTH REGION
290,WOODLANDS EAST,NORTH REGION
291,SEMBAWANG CENTRAL,NORTH REGION
292,GREENWOOD PARK,NORTH REGION
293,SEMBAWANG EAST,NORTH REGION
294,SENOKO WEST,NORTH REGION
296,ADMIRALTY,NORTH REGION
297,LIM CHU KANG,NORTH REGION
299,SENOKO SOUTH,NORTH REGION
300,SEMBAWANG NORTH,NORTH REGION
303,MANDAI EAST,NORTH REGION
305,NORTHLAND,NORTH REGION
306,MIDVIEW,NORTH REGION
307,WOODLANDS WEST,NORTH REGION
308,SEMBAWANG SPRINGS,NORTH REGION
309,SPRINGLEAF,NORTH REGION
310,PUNGGOL TOWN CENTRE,NORTH-EAST REGION
311,NEE SOON,NORTH REGION
313,CENTRAL WATER CATCHMENT,NORTH REGION
314,SELETAR,NORTH-EAST REGION
315,PANG SUA,NORTH REGION
316,SELETAR AEROSPACE PARK,NORTH-EAST REGION
317,KHATIB,NORTH REGION
318,MANDAI WEST,NORTH REGION
320,NORTH COAST,NORTH REGION
321,SEMBAWANG STRAITS,NORTH REGION
322,THE WHARVES,NORTH REGION
323,SENOKO NORTH,NORTH REGION
324,JOHOR BAHRU,NA
